alpha,p,w,top10,last_money
0.0,0.25,20,False,1961.6766630462525
0.0,0.5,20,False,1961.6766630462525
0.0,0.8,20,False,1961.6766630462525
0.0,0.5,20,True,1823.990099525518
0.0,0.8,20,True,1823.990099525518
0.0,0.25,20,True,1823.990099525518
0.25,0.5,40,True,1193.2211650128315
0.25,0.8,40,True,1193.2211650128315
0.25,0.25,40,True,1193.2211650128315
0.25,0.5,80,True,1187.4482120331222
0.25,0.25,80,True,1187.4482120331222
0.25,0.8,80,True,1187.4482120331222
0.25,0.8,60,True,1169.6986094245956
0.25,0.25,60,True,1169.6986094245956
0.25,0.5,60,True,1169.6986094245956
0.5,0.25,80,True,1147.5689944501694
0.5,0.5,80,True,1147.5689944501694
0.5,0.8,80,True,1147.5689944501694
0.5,0.5,40,True,1146.663989479951
0.5,0.8,40,True,1146.663989479951
0.5,0.25,40,True,1146.663989479951
0.25,0.25,80,False,1131.8503385448337
0.25,0.5,80,False,1131.8503385448337
0.25,0.8,80,False,1131.8503385448337
0.25,0.5,20,True,1129.5177859787339
0.25,0.8,20,True,1129.5177859787339
0.25,0.25,20,True,1129.5177859787339
0.5,0.8,20,True,1125.425709923454
0.5,0.25,20,True,1125.425709923454
0.5,0.5,20,True,1125.425709923454
0.5,0.25,60,True,1121.5478131936502
0.5,0.8,60,True,1121.5478131936502
0.5,0.5,60,True,1121.5478131936502
0.25,0.8,60,False,1120.1831133990268
0.25,0.5,60,False,1120.1831133990268
0.25,0.25,60,False,1120.1831133990268
0.9,0.8,20,True,1117.3291155963036
0.9,0.5,20,True,1117.3291155963036
0.9,0.25,20,True,1117.3291155963036
0.9,0.25,40,True,1115.592085711235
0.9,0.8,40,True,1115.592085711235
0.9,0.5,40,True,1115.592085711235
0.5,0.25,60,False,1108.5558606241002
0.5,0.8,60,False,1108.5558606241002
0.5,0.5,60,False,1108.5558606241002
0.9,0.25,60,False,1103.57633272766
0.9,0.5,60,False,1103.57633272766
0.9,0.8,60,False,1103.57633272766
0.5,0.5,80,False,1096.1441003136183
0.5,0.8,80,False,1096.1441003136183
0.5,0.25,80,False,1096.1441003136183
0.25,0.25,40,False,1093.6587902522258
0.25,0.5,40,False,1093.6587902522258
0.25,0.8,40,False,1093.6587902522258
0.5,0.8,40,False,1092.4692261550183
0.5,0.5,40,False,1092.4692261550183
0.5,0.25,40,False,1092.4692261550183
0.9,0.5,40,False,1090.074591485453
0.9,0.25,40,False,1090.074591485453
0.9,0.8,40,False,1090.074591485453
0.9,0.25,20,False,1083.9595470451852
0.9,0.8,20,False,1083.9595470451852
0.9,0.5,20,False,1083.9595470451852
0.5,0.25,20,False,1083.9591629162694
0.5,0.8,20,False,1083.9591629162694
0.5,0.5,20,False,1083.9591629162694
0.25,0.25,20,False,1083.9585948605604
0.25,0.5,20,False,1083.9585948605604
0.25,0.8,20,False,1083.9585948605604
0.9,0.25,80,False,1082.793006647782
0.9,0.5,80,False,1082.793006647782
0.9,0.8,80,False,1082.793006647782
0.9,0.25,60,True,1079.5462107742173
0.9,0.5,60,True,1079.5462107742173
0.9,0.8,60,True,1079.5462107742173
0.9,0.25,80,True,1075.6822575469762
0.9,0.5,80,True,1075.6822575469762
0.9,0.8,80,True,1075.6822575469762
